Sample,Pquery,Multiplicity,EDPL
RAxML_portableTree.dino_epa,f90e1d3417861d7ea72b0374db53e0232b7c069e_116,1,0.314215
RAxML_portableTree.dino_epa,0977faa48e661e7fcc5cef43d3ffa6b9d25c2452_139,1,0
RAxML_portableTree.dino_epa,5b69eb05cc2d757a032e3e8e78d0246e529ed185_198,1,0.0339842
RAxML_portableTree.dino_epa,8b4c6ec50c3741216da330b2ebba6694177e2658_96,1,1.16825
RAxML_portableTree.dino_epa,1695c4a0bf3dbde87ef638bf0b6f4da715b657f7_105,1,0.152382
RAxML_portableTree.dino_epa,c523a186a8e841fb4c4a521e3dbd20bd14c86c4d_107,1,0.153185
RAxML_portableTree.dino_epa,8b58a06f94ea2c4d9c3465d64311ad760dde1594_176,1,0.915829
RAxML_portableTree.dino_epa,e823fb81d263ce8786e75badb0f0f44bc52e5e6e_78,1,0
RAxML_portableTree.dino_epa,1bd194b0d0e51088ec189bae6487b604e14c0ba0_105,1,0.253924
RAxML_portableTree.dino_epa,3a7d4ab1008d9a1bb28838c522ade02ff3ec0374_83,1,0.653329
RAxML_portableTree.dino_epa,a8aca37ba2936ac92ae64b658a3b595eff025d36_88,1,0
RAxML_portableTree.dino_epa,756c4c1a7932c3553c365ddb070b125c1c1235d5_82,1,0.214364
RAxML_portableTree.dino_epa,df7f3711309eca696c2529a44b78f4e6de0badb3_67,1,0.960124
RAxML_portableTree.dino_epa,434335cd1d366058a4e591b3ff7902ba3d712f90_62,1,0.319154
RAxML_portableTree.dino_epa,6e0e2138c79115b5b58f2a77f927f174228d7a17_69,1,0.187902
RAxML_portableTree.dino_epa,b2d640bf8622b47281b523242ee8a660e8615ec5_58,1,1.11883
RAxML_portableTree.dino_epa,2172d83cfe1ad4481c6dc8941e3c7a98f6ab27f5_70,1,0.661115
RAxML_portableTree.dino_epa,f07d92a984474455dd525fd737a728391a2b6bb6_86,1,0.0991589
RAxML_portableTree.dino_epa,5840d9030eea063cf24dddc0d0f969885caff52e_62,1,0.152862
RAxML_portableTree.dino_epa,22fc98e5e89a61cd4562042d0c02fe16ec2359f3_82,1,0.48318
RAxML_portableTree.dino_epa,bd48536b13019496a7df289722c32a7199266219_107,1,0.865381
RAxML_portableTree.dino_epa,941c0fa051a096e003c699f7747c41bf07765314_82,1,0.064834
RAxML_portableTree.dino_epa,6868d656630344ab420014389943aece04921224_101,1,0.0362267
RAxML_portableTree.dino_epa,c71b4f6b6fea023459721b3e84a267ce1e4f3d54_55,1,0.029205
RAxML_portableTree.dino_epa,62b0f924cadcaac286ef0e17d80c84d052b77911_55,1,1.06563
RAxML_portableTree.dino_epa,8a9d5714f75cc03908f4a56d6294f4d7a565b8ba_77,1,0.876742
RAxML_portableTree.dino_epa,406d953c7717cabc7d0b33cc312c35583a3f6e92_48,1,0.0323521
RAxML_portableTree.dino_epa,1a33ca03fc0df5c880a38e8955b39770bb2f86a4_54,1,0.060653
RAxML_portableTree.dino_epa,a512cec226db446585066f21cb2ee78eb7909a02_47,1,0.0425259
RAxML_portableTree.dino_epa,25a28d0babb0d60e9540d8854c9d6c8565de2d7b_50,1,1.04395
RAxML_portableTree.dino_epa,f07fe2f6863eaffd02c34329d2fe3d42a6bda1f0_46,1,0.173743
RAxML_portableTree.dino_epa,324400ced585bf75f1c2890a951aba1a4d6eb460_58,1,0.732447
RAxML_portableTree.dino_epa,e398752440eed639b239a26a925e360b69b299f8_191,1,0.0770169
RAxML_portableTree.dino_epa,141fb7981938a04cae738acc6e1a4461178c37bf_49,1,0.230623
RAxML_portableTree.dino_epa,717ab87a0c314e50ef5a691d5834310a412134fe_47,1,0.0728405
RAxML_portableTree.dino_epa,04acab29ba78ca3d301602c7083326ca9fb8268d_35,1,0.077197
RAxML_portableTree.dino_epa,557eccbbd5a730515faee95c3fd93332d424bb1a_43,1,0.0576739
RAxML_portableTree.dino_epa,b50db50ae4943641b8a86e73a9dc95baa4a19980_79,1,0
RAxML_portableTree.dino_epa,bea5d30af60fb8467c4e1d6ec2491c7a027f34ae_46,1,0.32988
RAxML_portableTree.dino_epa,de7add9cb1d2ef7f2b25e550b24a9fdee05fefb0_41,1,0.774748
RAxML_portableTree.dino_epa,01f843ca567112849d23759e6fc29b0c6c8b7940_42,1,0.311389
RAxML_portableTree.dino_epa,de73d3a95a35d48bee80d3e42f5f428675979f9c_37,1,0.0380215
RAxML_portableTree.dino_epa,1d0d47eb3fed4d61b55a7038a12b1a450c99d492_68,1,0.0298742
RAxML_portableTree.dino_epa,ef2d558f3c53c0960a9e2eb5f0ab267ecdaed011_53,1,0.750595
RAxML_portableTree.dino_epa,57659cfc0f021ef7ddf42433f106c987277d2de8_38,1,0.569241
RAxML_portableTree.dino_epa,79aa111ef40cf85c6927695a2ecbabfc6aacaaf8_40,1,0.733408
RAxML_portableTree.dino_epa,a0e21fe41beed01ba2ae497754705b95ffdd06e1_30,1,0.0901575
RAxML_portableTree.dino_epa,31e59f4d50eaaa10d406bd23e365453ecda4af54_29,1,0.285019
RAxML_portableTree.dino_epa,3d618eac050328b7ab982248e773a35b0833c423_27,1,0.0763458
RAxML_portableTree.dino_epa,4c47950e31746d3b14dfdc5b1a8c5812549014dd_39,1,0.131016
RAxML_portableTree.dino_epa,e24f8a79523089a5e1478ab6d45ae30e95ae92e9_29,1,0.107082
