Sample,PqueryName,Multiplicity,LWR.1,LWR.2,LWR.3,LWR.4,LWR.5,Remainder
RAxML_portableTree.dino_epa,da05ba49bf3abdc15426a10f9f4b399e868fc1b0_317,1,0.801141,0.103665,0.035383,0.034282,0.002021,0.013608
RAxML_portableTree.dino_epa,ee99783001b9b4c561ea052f5355a01588c49ddb_207,1,0.463821,0.294065,0.242105,0.0,0.0,0.0
RAxML_portableTree.dino_epa,6c9c00178e26af4f55cdc5d799c60924a36a8d34_347,1,0.894211,0.032705,0.031378,0.009823,0.009745,0.013378
RAxML_portableTree.dino_epa,201eb31bc4b3a1b0baa7e7292f806802eac14086_260,1,0.419432,0.133264,0.131757,0.124993,0.096622,0.084293
RAxML_portableTree.dino_epa,d105b1a03ea109b6b1ccc24748fa4a07f792f9c3_322,1,0.60464,0.224203,0.156603,0.006423,0.0,0.0
RAxML_portableTree.dino_epa,a8d17c65edb97723b4ebe56373c07ee0a8b1567f_354,1,0.293953,0.286702,0.285668,0.033651,0.032634,0.058675
RAxML_portableTree.dino_epa,a016c95a288d05ea8b27c2acb3dcbe4764f2e709_229,1,0.33114,0.144561,0.043237,0.043215,0.018456,0.409745
RAxML_portableTree.dino_epa,99753a43a096b4ef9366c5e533d583784e84c3ad_158,1,0.266623,0.057575,0.029103,0.028913,0.028626,0.579785
RAxML_portableTree.dino_epa,2c737f66a2f1b0de54dfda8fa50bd7f42e874358_180,1,0.618554,0.192093,0.088206,0.082815,0.002144,0.006366
RAxML_portableTree.dino_epa,739bd864eecb94c6de0a292846ccbaf18f4240a7_170,1,0.094976,0.09455,0.09438,0.094376,0.094036,0.520244
RAxML_portableTree.dino_epa,5e37693be6eb6f802cd812fca22107248e61e6c7_302,1,0.19025,0.108887,0.087011,0.050932,0.034397,0.51879
RAxML_portableTree.dino_epa,43fa085caa566a36e25969e2e97ffdea31eda045_129,1,0.446744,0.299285,0.253958,0.0,0.0,0.0
RAxML_portableTree.dino_epa,01a8638e3f30ab7846a50539a306dc52fdf82dbd_119,1,0.785254,0.056475,0.05495,0.041476,0.039357,0.013375
